City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,francistown,-21.17,27.5079,16.24,83,93,7.87,BW,1695828904
83,copala,16.65,-98.9833,29.57,69,0,1.11,MX,1695828904
84,galesong,-5.3166,119.3661,29.01,53,95,1.85,ID,1695828904
85,waitangi,-43.9535,-176.5597,10.46,97,100,8.22,NZ,1695828905
86,jayapura,-2.5333,140.7,25.66,86,100,1.75,ID,1695828905
87,tsiombe,-25.3,45.4833,22.95,76,2,5.61,MG,1695828905
88,mount gambier,-37.8333,140.7667,8.23,97,15,2.05,AU,1695828905
89,papao,-17.75,-149.55,22.82,89,4,7.95,PF,1695828905
90,adamstown,-25.066,-130.1015,20.8,62,99,5.92,PN,1695828905
91,ancud,-41.8697,-73.8203,8.98,92,100,7.28,CL,1695828906
92,ust-nera,64.5667,143.2,3.21,97,100,3.33,RU,1695828906
93,greymouth,-42.4667,171.2,6.28,87,100,1.55,NZ,1695828906
94,vadso,70.0744,29.7487,12.49,87,0,3.09,NO,1695828907
95,prymors'k,46.7348,36.3443,22.4,34,0,6.74,UA,1695828907
96,saint-philippe,-21.3585,55.7679,23.77,79,27,6.01,RE,1695828907
97,tofol,5.3248,163.0078,28.02,75,86,2.89,FM,1695828907
98,mejit,10.2753,170.8646,27.74,80,99,3.87,MH,1695828907
99,puerto natales,-51.7236,-72.4875,2.25,75,100,5.14,CL,1695828908
100,naracoorte,-36.9579,140.7383,6.59,95,0,1.48,AU,1695828908
101,utrik,11.2278,169.8474,27.94,79,98,3.06,MH,1695828908
102,dompu,-8.5356,118.4622,22.61,92,84,1.09,ID,1695828908
103,anadyr,64.75,177.4833,4.28,93,20,4.0,RU,1695828908
104,yemetsk,63.4721,41.7941,11.84,89,1,2.36,RU,1695828908
105,katsuren-haebaru,26.3369,127.8719,29.43,83,40,4.12,JP,1695828909
106,howard springs,-12.497,131.047,26.95,73,12,2.23,AU,1695828909
107,tippi,7.2,35.45,18.99,96,37,1.49,ET,1695828909
108,richards bay,-28.783,32.0377,18.35,68,81,2.22,ZA,1695828909
109,cole harbour,44.6724,-63.4751,16.1,77,100,3.6,CA,1695828910
110,ribeira grande,38.5167,-28.7,24.32,88,40,8.75,PT,1695828910
111,lebu,-37.6167,-73.65,11.81,65,100,1.6,CL,1695828910
112,zavetnoye,47.1194,43.8903,21.95,38,0,3.81,RU,1695828910
113,kentville,45.0835,-64.4988,16.34,84,0,1.03,CA,1695828698
114,musoma,-1.5,33.8,24.43,64,16,2.14,TZ,1695828910
115,dunedin,-45.8742,170.5036,6.56,90,100,0.45,NZ,1695828693
116,sitka,57.0531,-135.33,11.94,87,100,2.57,US,1695828801
117,hawaiian paradise park,19.5933,-154.9731,21.69,93,40,3.6,US,1695828911
118,saldanha,-33.0117,17.9442,22.03,71,0,4.97,ZA,1695828911
119,bamako,12.65,-8.0,35.23,49,20,1.54,ML,1695828911
120,east london,-33.0153,27.9116,16.52,72,20,8.75,ZA,1695828829
121,tanggu,39.0211,117.6469,15.98,51,0,3.03,CN,1695828912
122,high rock,26.6208,-78.2833,30.01,71,100,4.3,BS,1695828912
123,baiyin,36.5583,104.2081,13.97,70,100,1.12,CN,1695828912
124,colares,38.7992,-9.4469,29.14,63,20,6.17,PT,1695828912
125,luderitz,-26.6481,15.1594,22.71,37,0,8.14,,1695828912
126,queenstown,-31.8976,26.8753,12.71,63,66,3.32,ZA,1695828912
127,talovyy,47.8077,40.1094,20.45,28,0,4.46,RU,1695828912
128,new norfolk,-42.7826,147.0587,11.72,92,32,1.7,AU,1695828913
129,boa vista,2.8197,-60.6733,33.99,46,20,1.54,BR,1695828913
130,uturoa,-16.7333,-151.4333,25.69,78,16,9.47,PF,1695828913
131,palembang,-2.9167,104.7458,27.05,74,20,3.6,ID,1695828913
132,lompoc,34.6391,-120.4579,22.74,74,20,8.94,US,1695828811
133,iqaluit,63.7506,-68.5145,3.85,75,75,11.83,CA,1695828614
134,fale old settlement,-9.3852,-171.2468,27.86,80,18,5.45,TK,1695828914
135,luanda,-8.8368,13.2343,26.0,69,20,5.66,AO,1695828870
136,hafar al-batin,28.4328,45.9708,38.32,10,0,4.12,SA,1695828914
137,olovyannaya,50.95,115.5667,6.76,83,73,1.69,RU,1695828914
138,tiksi,71.6872,128.8694,-2.02,68,98,2.74,RU,1695828914
139,afsin,38.2477,36.914,23.3,28,5,2.89,TR,1695828914
140,zhanaozen,43.3,52.8,21.79,30,0,2.99,KZ,1695828915
141,puerto rico,-26.796,-55.024,16.03,78,100,2.47,AR,1695828915
142,la villa del rosario,10.3258,-72.3134,34.02,50,26,3.1,VE,1695828915
143,monticello,45.3055,-93.7941,18.3,91,100,3.09,US,1695828915
144,petropavlovsk-kamchatsky,53.0452,158.6483,1.33,93,75,4.0,RU,1695828915
145,kez,57.8979,53.7152,8.92,84,34,2.22,RU,1695828915
146,kirgiz-miyaki,53.6324,54.7979,12.42,63,100,1.54,RU,1695828916
147,teguise,29.0605,-13.564,26.12,54,20,9.77,ES,1695828916
148,afaahiti,-17.75,-149.2833,21.93,88,13,6.03,PF,1695828916
149,toyooka,35.5333,134.8333,23.52,94,75,0.86,JP,1695828916
150,berezovyy,51.6667,135.7,10.68,97,100,1.49,RU,1695828916
151,yeppoon,-23.1333,150.7333,15.88,78,0,3.11,AU,1695828916
152,beaver dam,43.4578,-88.8373,18.04,63,100,2.06,US,1695828917
153,nogliki,51.8333,143.1667,9.48,97,82,3.67,RU,1695828917
154,minas de marcona,-15.2119,-75.1103,15.8,75,80,6.33,PE,1695828917
155,flekkefjord,58.2971,6.6607,15.23,70,28,1.07,NO,1695828917
156,fecamp,49.7579,0.3746,23.49,67,100,5.81,FR,1695828917
157,kavieng,-2.5744,150.7967,25.88,86,100,3.56,PG,1695828918
158,tahe,52.3333,124.7333,8.13,98,100,1.36,CN,1695828918
159,pitimbu,-7.4706,-34.8086,29.33,66,88,4.7,BR,1695828918
160,polyarnyy,69.1989,33.4478,10.23,88,45,2.33,RU,1695828918
